Bibliography,Instance number,First Layer,WE area(cm2),Power(W),Intensity(mW/cm2),AM1.5G,Electrolyte Molarity (M),pH,BandGap(eV),Experimental Bias (V),correction factor, RHE bias (V vs RHE),PhotocurrentDensity(mA/cm2)
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",29,N- BiVO4,0.28,500,100,0,0.1,7,2.35,0.926,0,0.926,3.3144
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",30,N- BiVO4,0.28,500,100,0,0.1,7,2.35,0.9613,0,0.9613,3.462
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",31,N- BiVO4,0.28,500,100,0,0.1,7,2.35,0.9982,0,0.9982,3.5667
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",32,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.0351,0,1.0351,3.6709
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",33,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.072,0,1.072,3.7376
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",34,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.1089,0,1.1089,3.775
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",35,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.1458,0,1.1458,3.8224
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",36,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.1827,0,1.1827,3.8464
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",37,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.2179,0,1.2179,3.877
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",38,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.2665,0,1.2665,3.9242
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",39,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.3034,0,1.3034,3.9681
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",40,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.3403,0,1.3403,3.9939
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",41,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.3772,0,1.3772,4.0424
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",42,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.4141,0,1.4141,4.0898
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",43,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.451,0,1.451,4.1337
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",44,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.4879,0,1.4879,4.2139
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",45,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.5248,0,1.5248,4.2759
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",46,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.5617,0,1.5617,4.3573
"Eo, Tatsuya, et al. ""Handy protocol of nitrogen-doped BiVO4 photoanode for visible light-driven water oxidation."" ACS Applied Energy Materials 4.4 (2021): 2983-2989.",47,N- BiVO4,0.28,500,100,0,0.1,7,2.35,1.5919,0,1.5919,4.4231
