,Unnamed: 0,Reference,Bibliography,Instance number,First Layer,Counter Electrode,Reference Electrode,WE area(cm2),Power(W),Wavelength(nm),Intensity(mW/cm2),AM1.5G,ElectrolyteType,Electrolyte Molarity (M),pH,BandGap(eV),Bias vs what,Experimental Bias (V),correction factor, RHE bias (V vs RHE),PhotocurrentDensity(mA/cm2)
10,43,2,"Wang P, Wang D, Lin J, Li X, Peng C, Gao X, et al. Lattice defect-enhanced hydrogen production in nanostructured hematite-based photoelectrochemical device. ACS Appl Mater Interfaces 2012;4:2295–301. https://doi.org/10.1021/am300395p.",301,FeO,Pt,Ag/AgCl,0.5,300,410,100,0,NaOH,1,13.6,1.85,RHE,1.6,0,1.6,1.14
11,44,2,"Wang P, Wang D, Lin J, Li X, Peng C, Gao X, et al. Lattice defect-enhanced hydrogen production in nanostructured hematite-based photoelectrochemical device. ACS Appl Mater Interfaces 2012;4:2295–301. https://doi.org/10.1021/am300395p.",301,FeO,Pt,Ag/AgCl,0.5,300,410,100,0,NaOH,1,13.6,1.85,RHE,1.69,0,1.69,1.26
12,45,2,"Wang P, Wang D, Lin J, Li X, Peng C, Gao X, et al. Lattice defect-enhanced hydrogen production in nanostructured hematite-based photoelectrochemical device. ACS Appl Mater Interfaces 2012;4:2295–301. https://doi.org/10.1021/am300395p.",301,FeO,Pt,Ag/AgCl,0.5,300,410,100,0,NaOH,1,13.6,1.85,RHE,1.79,0,1.79,1.35
34,138,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",156,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.1,Ag/AgCl,-1,0.197,0.023,0.000218
35,139,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",156,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.1,Ag/AgCl,-0.904,0.197,0.119,0.00218
36,140,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",156,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.1,Ag/AgCl,-0.814,0.197,0.209,0.00457
37,141,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",156,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.1,Ag/AgCl,-0.703,0.197,0.32,0.00719
38,142,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",156,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.1,Ag/AgCl,-0.609,0.197,0.414,0.0085
39,143,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",156,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.1,Ag/AgCl,-0.516,0.197,0.507,0.0102
40,144,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",156,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.1,Ag/AgCl,-0.407,0.197,0.616,0.0135
41,145,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",156,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.1,Ag/AgCl,-0.304,0.197,0.719,0.0179
42,146,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",156,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.1,Ag/AgCl,-0.2,0.197,0.823,0.0203
43,147,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",156,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.1,Ag/AgCl,-0.104,0.197,0.919,0.0213
44,148,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",156,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.1,Ag/AgCl,0.00522,0.197,1.02822,0.0235
45,149,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",156,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.1,Ag/AgCl,0.0949,0.197,1.1179,0.0246
46,150,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",156,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.1,Ag/AgCl,0.187,0.197,1.21,0.0246
47,151,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",157,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.059,Ag/AgCl,-1.01,0.197,0.013,-0.000218
48,152,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",157,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.059,Ag/AgCl,-0.902,0.197,0.121,0.00654
49,153,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",157,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.059,Ag/AgCl,-0.812,0.197,0.211,0.0142
50,154,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",157,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.059,Ag/AgCl,-0.697,0.197,0.326,0.0196
51,155,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",157,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.059,Ag/AgCl,-0.603,0.197,0.42,0.0222
52,156,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",157,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.059,Ag/AgCl,-0.524,0.197,0.499,0.0248
53,157,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",157,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.059,Ag/AgCl,-0.42,0.197,0.603,0.0272
54,158,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",157,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.059,Ag/AgCl,-0.311,0.197,0.712,0.0281
55,159,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",157,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.059,Ag/AgCl,-0.194,0.197,0.829,0.0388
56,160,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",157,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.059,Ag/AgCl,-0.0914,0.197,0.9316,0.051
57,161,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",157,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.059,Ag/AgCl,0.00678,0.197,1.02978,0.0516
58,162,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",157,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.059,Ag/AgCl,0.09,0.197,1.113,0.0518
59,163,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",157,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.059,Ag/AgCl,0.182,0.197,1.205,0.0527
60,164,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",158,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.0219,Ag/AgCl,-1,0.197,0.023,-0.000218
61,165,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",158,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.0219,Ag/AgCl,-0.898,0.197,0.125,0.0098
62,166,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",158,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.0219,Ag/AgCl,-0.806,0.197,0.217,0.0305
63,167,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",158,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.0219,Ag/AgCl,-0.706,0.197,0.317,0.0468
64,168,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",158,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.0219,Ag/AgCl,-0.608,0.197,0.415,0.0497
65,169,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",158,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.0219,Ag/AgCl,-0.508,0.197,0.515,0.0529
66,170,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",158,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.0219,Ag/AgCl,-0.405,0.197,0.618,0.0558
67,171,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",158,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.0219,Ag/AgCl,-0.31,0.197,0.713,0.0682
68,172,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",158,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.0219,Ag/AgCl,-0.218,0.197,0.805,0.0834
69,173,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",158,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.0219,Ag/AgCl,-0.103,0.197,0.92,0.0921
70,174,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",158,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.0219,Ag/AgCl,-0.0111,0.197,1.0119,0.0924
71,175,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",158,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.0219,Ag/AgCl,0.0913,0.197,1.1143,0.0932
72,176,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",158,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,3.0219,Ag/AgCl,0.19,0.197,1.213,0.0937
73,177,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",159,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,2.95,Ag/AgCl,-1,0.197,0.023,0.000654
74,178,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",159,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,2.95,Ag/AgCl,-0.915,0.197,0.108,0.00196
75,179,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",159,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,2.95,Ag/AgCl,-0.81,0.197,0.213,0.0168
76,180,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",159,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,2.95,Ag/AgCl,-0.702,0.197,0.321,0.0312
77,181,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",159,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,2.95,Ag/AgCl,-0.61,0.197,0.413,0.0373
78,182,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",159,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,2.95,Ag/AgCl,-0.508,0.197,0.515,0.042
79,183,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",159,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,2.95,Ag/AgCl,-0.409,0.197,0.614,0.046
80,184,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",159,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,2.95,Ag/AgCl,-0.309,0.197,0.714,0.0514
81,185,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",159,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,2.95,Ag/AgCl,-0.203,0.197,0.82,0.0606
82,186,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",159,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,2.95,Ag/AgCl,-0.109,0.197,0.914,0.0643
83,187,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",159,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,2.95,Ag/AgCl,-0.00202,0.197,1.02098,0.0643
84,188,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",159,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,2.95,Ag/AgCl,0.1,0.197,1.123,0.0654
85,189,7,"Park JJ, Kim DY, Lee JG, Cha YH, Swihart MT, Yoon SS. Supersonic aerosol-deposited TiO2 photoelectrodes for photoelectrochemical solar water splitting. RSC Adv 2014;4:8661–70. https://doi.org/10.1039/c3ra47998f.",159,TiO,Pt gauze,Ag/AgCl,0.3,400,410,100,1,NaOH,1,14,2.95,Ag/AgCl,0.186,0.197,1.209,0.0651
86,228,9,"Kim K, Kim IH, Yoon KY, Lee J, Jang JH. α-Fe2O3 on patterned fluorine doped tin oxide for efficient photoelectrochemical water splitting. J Mater Chem A 2015;3:7706–9. https://doi.org/10.1039/c5ta00027k.",290,FeO,Pt gauze,Ag/AgCl,0.25,300,410,100,1,NaOH,1,13.6,2.17,RHE,0.601,0,0.601,0.00215
87,229,9,"Kim K, Kim IH, Yoon KY, Lee J, Jang JH. α-Fe2O3 on patterned fluorine doped tin oxide for efficient photoelectrochemical water splitting. J Mater Chem A 2015;3:7706–9. https://doi.org/10.1039/c5ta00027k.",290,FeO,Pt gauze,Ag/AgCl,0.25,300,410,100,1,NaOH,1,13.6,2.17,RHE,0.7,0,0.7,0.0199
88,230,9,"Kim K, Kim IH, Yoon KY, Lee J, Jang JH. α-Fe2O3 on patterned fluorine doped tin oxide for efficient photoelectrochemical water splitting. J Mater Chem A 2015;3:7706–9. https://doi.org/10.1039/c5ta00027k.",290,FeO,Pt gauze,Ag/AgCl,0.25,300,410,100,1,NaOH,1,13.6,2.17,RHE,0.799,0,0.799,0.0849
89,231,9,"Kim K, Kim IH, Yoon KY, Lee J, Jang JH. α-Fe2O3 on patterned fluorine doped tin oxide for efficient photoelectrochemical water splitting. J Mater Chem A 2015;3:7706–9. https://doi.org/10.1039/c5ta00027k.",290,FeO,Pt gauze,Ag/AgCl,0.25,300,410,100,1,NaOH,1,13.6,2.17,RHE,0.904,0,0.904,0.365
90,232,9,"Kim K, Kim IH, Yoon KY, Lee J, Jang JH. α-Fe2O3 on patterned fluorine doped tin oxide for efficient photoelectrochemical water splitting. J Mater Chem A 2015;3:7706–9. https://doi.org/10.1039/c5ta00027k.",290,FeO,Pt gauze,Ag/AgCl,0.25,300,410,100,1,NaOH,1,13.6,2.17,RHE,1,0,1,0.662
